[0:00 - 0:02]  الحمد الله رب العالمين
[0:02 - 0:07]  لعو الحمد الحسن الثانية والدمين واشهر والله إلا الله
[0:07 - 0:09]  واحده لي شريك له
[0:09 - 0:12]  واشهد أنه محمده عبده ورصره
[0:12 - 0:16]  وبعد فعلا سبحانه وتعالى أن يوزع دكم
[0:16 - 0:20]  وأن يشرح صدوركم وأن يسرغموركم
[0:20 - 0:25]  وعسل هنسبحانه وتعالى أن يقرر عايناكم
[0:25 - 0:27]  بالصلاة
[0:27 - 0:31]  وأن يجعلها راحة لكم
[0:31 - 0:36]  راحة لأرواحكم وقلوبكم وعقولكم وعبدانكم
[0:36 - 0:40]  واش الله سبحانه وتعالى أن يشف قلوبكم بها
[0:40 - 0:42]  ويشف عرواحكم بها
[0:42 - 0:45]  وأن يشف عجسادكم بها
[0:45 - 0:49]  ونسل هنسبحانه وتعالى أن يفتح لي عليكم
[0:49 - 0:53]  بما يقوب الوغوف بين يديه
[0:53 - 0:56]  مزال حديث وناء عن الصلاة
[0:56 - 1:04]  وقد تكلمنا عن قبسات في الخشوع
[1:04 - 1:07]  وأن الخشوع عن درجات
[1:07 - 1:09]  وأول درج هي الخضوع
[1:09 - 1:13]  وخشوع الكسد إن الكسد يكون خشا
[1:13 - 1:18]  ويكون ويقف وقف المؤدب
[1:18 - 1:21]  الذي يستشعر أنه يقف بين يديه
[1:21 - 1:23]  سبحانه وتعالى
[1:23 - 1:26]  وناء أول قبس أول حاجة
[1:26 - 1:30]  تساعد وخذناها من قصد سيدنا موسى
[1:30 - 1:33]  إن الساعة ايتية
[1:33 - 1:37]  استهدار الساعة بين عيني المصلي
[1:37 - 1:39]  والنبيس الله الله وسلم
[1:39 - 1:41]  قال صللي صلات موضع
[1:41 - 1:44]  صلدي صلات موضع
[1:44 - 1:47]  بالمناسبة أن شعض ضحنا
[1:47 - 1:50]  ومن المناسبة أن تتمنى هذه السلسلة
[1:50 - 1:53]  بعد رمضة
[1:53 - 1:58]  سيكون في القائن في الصلاة
[1:58 - 2:02]  وهذا الاسبور
[2:02 - 2:04]  سيكون القائن
[2:04 - 2:05]  النيس والسيئة
[2:05 - 2:06]  هذا القائن
[2:06 - 2:10]  ونختم بالقاء الذي يلي
[2:10 - 2:14]  سمى سيكون القائة
[2:14 - 2:17]  ومن المناسبة أن يكون القائن
[2:17 - 2:20]  والشعر في القائن
[2:20 - 2:23]  ونستطيع أن يكون
[2:23 - 2:30]  من هاجية المصحبة القرآن في رمضة
[2:30 - 2:34]  في شرح من هاجية
[2:34 - 2:37]  يدى دون بيط إن شاء الله
[2:37 - 2:39]  فأس الله أن يستددكم
[2:39 - 2:41]  و يحفظكم و يبارفكم
[2:41 - 2:44]  و يدى أن توقف إن شاء الله إلى رمضان
[2:44 - 2:46]  بستثناء
[2:46 - 2:49]  و بمالقة أعن اليوم النبي
[2:49 - 2:52]  كيف يكون يوم كها في رمضان
[2:52 - 2:55]  اليوم سراجين
[2:55 - 2:57]  يوم النبي
[2:57 - 2:59]  فأس الله سبحانه تعالى
[2:59 - 3:02]  أن يلمنا و يأكم السدادة ورشت
[3:02 - 3:06]  نعود إلى قورة العين
[3:06 - 3:07]  أصلاة
[3:07 - 3:09]  بأن النصلاة
[3:09 - 3:11]  أن نبيو
[3:11 - 3:13]  أول درجة
[3:13 - 3:14]  أن النبي
[3:14 - 3:16]  س الله سلم قال صلى الله عليه وسلم
[3:16 - 3:18]  و يصلاة مونده
[3:18 - 3:19]  و صلى الموندع
[3:19 - 3:20]  و ان نستفيد منها
[3:20 - 3:22]  أن كل ان تستطيع
[3:22 - 3:23]  تستمتع بصلاة
[3:23 - 3:25]  ما لم تستحدر
[3:25 - 3:27]  الدر الاخر
[3:27 - 3:29]  أخلصناهم بخالصة
[3:29 - 3:31]  الذكر الدار
[3:31 - 3:34]  ف ربنا يحفظكم و يبارفكم
[3:34 - 3:36]  نحن نحتاجين
[3:36 - 3:38]  ندر كويس أوين
[3:38 - 3:40]  أن في حاجات أساسية
[3:40 - 3:43]  هي الوحد الصحيح العليصار
[3:43 - 3:45]  إلا ميأة يشترع رفكو
[3:45 - 3:47]  كل البئة هي كون أصفر
[3:47 - 3:49]  يعني أن نكتب عشر
[3:49 - 3:50]  بكتب واحد
[3:50 - 3:51]  على اليصار
[3:51 - 3:54]  وبعدين صفر على يمينه
[3:54 - 3:55]  شدوا بعشر مية
[3:55 - 3:57]  توب بصفرين
[3:57 - 3:59]  الف سلس أصفر
[3:59 - 4:02]  فبدون في حاجات كده
[4:02 - 4:04]  بدونها البئة هي كون أصفر
[4:04 - 4:06]  بدون استحدار الدار الاخرى
[4:06 - 4:09]  الحشوع هي قتارب من الأصفر
[4:09 - 4:13]  أبدون متسما نستحدر
[4:13 - 4:15]  بين يدي من النقف
[4:15 - 4:17]  هيها تكون أصفر
[4:17 - 4:21]  مش أصفر بمعنى إن هي مفيش أجل
[4:21 - 4:23]  أعمع الله
[4:23 - 4:26]  مع الله أصل أنتم أجور
[4:26 - 4:28]  ومستور
[4:28 - 4:31]  ومصبو بنائم الله سبحانه
[4:31 - 4:34]  لكن أصفر
[4:34 - 4:35]  هنا يعني
[4:35 - 4:37]  بدار جات أقل بكثير
[4:37 - 4:39]  من مططم هيله
[4:39 - 4:41]  لكن مع رب الشكور
[4:41 - 4:43]  كل لا تستصغر
[4:43 - 4:44]  طاع
[4:44 - 4:47]  تفعلها للكبير المتعلم
[4:47 - 4:50]  لا تستقل
[4:50 - 4:52]  بتاع
[4:52 - 4:55]  أن تفعلتها للأهي سبحانه
[4:55 - 4:58]  المعنى دمهم أول
[4:58 - 5:02]  زي ما لا تستحقر معصية
[5:02 - 5:04]  لا تستحقر أبدًا طاع
[5:04 - 5:06]  فالكبير جل جلاله
[5:06 - 5:08]  ما تفعله له
[5:08 - 5:11]  فهو عنده كبير
[5:11 - 5:14]  مفيش عند رب بنس
[5:14 - 5:17]  بحانه وتعالى استحقار طاع
[5:17 - 5:20]  فناس الله المسلمنا
[5:20 - 5:21]  ومسلم بننا
[5:21 - 5:23]  من الأمر
[5:24 - 5:26]  التي تعدنا جدا في
[5:26 - 5:29]  الخشوة في الصلاة
[5:29 - 5:30]  والانتباه
[5:30 - 5:32]  لن أزاح ملافز الخشوة
[5:32 - 5:34]  باللافز الانتباه
[5:34 - 5:35]  واليقظة
[5:35 - 5:36]  لأن الفاض الخشوة
[5:36 - 5:37]  ممكن
[5:37 - 5:39]  تعلم التشوش
[5:39 - 5:40]  شوية ونجلت زيات
[5:40 - 5:41]  على بعض الناس
[5:41 - 5:43]  أن يحسد موضوع بييد
[5:43 - 5:46]  هي منزلة ومقام عالي
[5:46 - 5:47]  لدراجات
[5:47 - 5:49]  مندراجات هل يقظة
[5:49 - 5:51]  فهي مندراجات الخشوة
[5:51 - 5:53]  وربنا يحفظنا
[5:53 - 5:54]  ويبارك في نا
[5:54 - 5:55]  ويسترنى
[5:55 - 5:56]  ونشاء الله نصل
[5:56 - 5:57]  لهاد المقام
[5:57 - 5:59]  سريعا
[5:59 - 6:00]  ونحن في أمان
[6:00 - 6:02]  ورض من الرحمن
[6:02 - 6:03]  من الأمر
[6:03 - 6:05]  أن الساعة
[6:05 - 6:06]  يستحدرها
[6:06 - 6:07]  الحاجة
[6:07 - 6:09]  أن يأربت الصلاة
[6:09 - 6:12]  بالزرفة بتاعها
[6:12 - 6:14]  بالزرفة بينه وعالي خشوة
[6:14 - 6:15]  يعني
[6:15 - 6:17]  يعني الكلمدة
[6:17 - 6:18]  إنسان
[6:18 - 6:20]  الذي يصلي
[6:20 - 6:22]  هل واحد بيصلي
[6:22 - 6:24]  راعي بيصلي
[6:24 - 6:26]  في الصحرة
[6:26 - 6:28]  في شعب شعب الجبال
[6:28 - 6:30]  زي واحد بيصلي
[6:30 - 6:32]  بين صفوف القتل
[6:32 - 6:34]  يعني
[6:34 - 6:35]  دلوقت في تنين بيصلي
[6:35 - 6:36]  في الأنفاق
[6:36 - 6:38]  وبحرب الأمة المغضوب
[6:38 - 6:40]  على أمة اللي هي الغضب
[6:40 - 6:42]  هل زي يهم زي تنين
[6:42 - 6:43]  بيصلي
[6:43 - 6:45]  في وخدين الغنبتعهم
[6:45 - 6:46]  وسرحنهم
[6:46 - 6:48]  وسرحنهم بيصلي
[6:48 - 6:50]  هل واحد بيصلي
[6:50 - 6:51]  تحت الأمطار
[6:51 - 6:52]  واحد بيصلي
[6:52 - 6:53]  تحت
[6:53 - 6:57]  الشمس الملتهبة
[6:57 - 6:58]  لتنين
[6:58 - 7:00]  نفس الحضور
[7:00 - 7:01]  القلب ونفس الحضور
[7:01 - 7:02]  خشوة
[7:02 - 7:04]  نعم
[7:04 - 7:05]  ربت الصلاة
[7:05 - 7:06]  بيصرفها
[7:06 - 7:07]  بينه وعالي خشوة
[7:07 - 7:08]  بيكدده
[7:08 - 7:09]  إنه قطدي مهمة
[7:09 - 7:10]  جداً
[7:10 - 7:12]  المصلي بشر
[7:12 - 7:13]  يساده
[7:13 - 7:15]  المصلي بشر
[7:15 - 7:18]  وبيتأثر بالزرف الحول
[7:18 - 7:21]  ويزرف ده بيؤسل فيه
[7:21 - 7:24]  به هو عوزي ناخد با
[7:24 - 7:26]  من الزرف ده
[7:26 - 7:28]  من الزرف المحب بيه
[7:28 - 7:31]  دافع للخشوة
[7:31 - 7:33]  من دافع للخشوة
[7:33 - 7:36]  بخشوة الصلاة في المطرف
[7:37 - 7:39]  بيكددفع عن خشوة الصلاة
[7:39 - 7:41]  تحت الغبف
[7:41 - 7:43]  وخشوعة ظلالي
[7:43 - 7:45]  والانهار
[7:45 - 7:48]  بيختلف مع خشوة من يصدف الصحراء والقفار
[7:48 - 7:51]  وخشوعة الذي يصدف الطائرة
[7:51 - 7:54]  مختلف مع خشوة الذي يصدف سفينة
[7:54 - 7:56]  وصدت البحار
[7:56 - 7:59]  البعض ممكن يستغر بالفكرة ديات
[7:59 - 8:01]  لكن
[8:01 - 8:03]  فيهنا المتعمل لها
[8:03 - 8:04]  هيدرك
[8:04 - 8:06]  إنه سيدنا يونس
[8:06 - 8:09]  لما الزرف الذي يأهو
[8:09 - 8:12]  إلى أنبطني الحوت وفي البحار
[8:12 - 8:14]  فسماع سيدنا يونس
[8:14 - 8:17]  التسبيئي فسقرع سيدنا يونس
[8:17 - 8:19]  وقال لا إلى هلا
[8:19 - 8:22]  وتكلما بهذا الدعاء
[8:22 - 8:24]  وكانه الديره لا إلى هلا
[8:24 - 8:27]  أنت سبحانك إن يكون من الضعالمين
[8:27 - 8:29]  فهنا
[8:29 - 8:32]  وقل النوع سمع تسبيح الحصة
[8:32 - 8:34]  في قراضة البحر
[8:34 - 8:36]  فألكد
[8:36 - 8:38]  فلما ألكد
[8:38 - 8:40]  ويسبح
[8:40 - 8:42]  وكثير من العلماء
[8:42 - 8:45]  في التفسير
[8:45 - 8:49]  في قوله تعالى من المسبحين
[8:49 - 8:52]  المسبحين هنا
[8:52 - 8:54]  أي من المصدين
[8:54 - 8:57]  فكان يصلي صلاة
[8:57 - 8:59]  في هذا المكان
[8:59 - 9:01]  سبحان الله
[9:01 - 9:02]  إذا
[9:02 - 9:04]  إن
[9:04 - 9:06]  إن الإنسان
[9:07 - 9:09]  محتاج يدرك كويس أوي
[9:09 - 9:10]  أثر
[9:10 - 9:11]  تنوى وقت الصلاة
[9:11 - 9:12]  يأسى أن وقت الصلاة
[9:12 - 9:14]  وتتنوى عك من
[9:14 - 9:16]  مقاصد التنوى
[9:16 - 9:19]  أن ندي خمس موقيت مختلفة
[9:19 - 9:21]  ونشاء الله بعد رمضان
[9:21 - 9:23]  بأنه لا يوجد رمضان
[9:23 - 9:25]  كنت أكلمكم
[9:25 - 9:28]  عن أو قلت الصلاة
[9:28 - 9:30]  الفجر
[9:30 - 9:34]  وتفجر منه باقل المعاني
[9:34 - 9:38]  وصالت عادة الشحن
[9:38 - 9:39]  الأصر
[9:39 - 9:41]  مهمي أن ينساء الله
[9:41 - 9:43]  نتكلم على فلسافة كل صلاة
[9:43 - 9:44]  ووقتها
[9:44 - 9:45]  وجمالها
[9:45 - 9:47]  بيزن الى
[9:47 - 9:50]  إن عود مرة نوغرة
[9:50 - 9:52]  الى السلسة بيزن الله
[9:52 - 9:54]  لأن موقيت الصلاة
[9:54 - 9:57]  موقيت
[9:57 - 9:59]  يعني مع الفرق الكبير
[9:59 - 10:00]  جدا
[10:00 - 10:01]  نمتخداء
[10:01 - 10:03]  ويخذ أي حاجة كدا
[10:03 - 10:05]  طدية يقول لك لازم تخو دمس
[10:05 - 10:06]  أن ده تخدوا يوم يوم
[10:06 - 10:07]  ده تخدوا كل تمانس عادة
[10:07 - 10:09]  تخدوا كله 12 ساع
[10:09 - 10:10]  فالطبيب
[10:10 - 10:12]  العنده خبره
[10:12 - 10:13]  بجسادك
[10:13 - 10:14]  ومرضك
[10:14 - 10:15]  بيقول كدا
[10:15 - 10:17]  فما بالك
