[0:00 - 0:02]  الحمد اللي يغرب العالمين
[0:02 - 0:05]  لحمد الحسن والثاناء والدمين
[0:05 - 0:08]  وأشهر والله إله إلا الله
[0:08 - 0:10]  محتهو لاشة إيجلة
[0:10 - 0:13]  وأشهد أن محمد عبه ورسل
[0:13 - 0:17]  مبعد أسعد الله صدقا حكم
[0:17 - 0:20]  وأسدد الله كل وبكم
[0:20 - 0:24]  ويسر الله على أرواحكم
[0:24 - 0:27]  وأقر الله عيونكم
[0:27 - 0:29]  بالصالة
[0:29 - 0:31]  شرح الله صدوركم
[0:31 - 0:33]  ويسر الله أموركم
[0:33 - 0:36]  عاطاكم الله سؤلككم في عفن وعافيه
[0:36 - 0:39]  وأسل الله صبحانه وتعالى
[0:39 - 0:42]  أنجعني ويكم من رضي بالله ربا
[0:42 - 0:44]  وبالإسلام دينة
[0:44 - 0:47]  وبمحمد صلى الله عليه وسلم نبي
[0:47 - 0:48]  ورسولة
[0:48 - 0:51]  ونسأله صبحانه وتعالى
[0:51 - 0:54]  للمنافع ولمل الصالة والرسقط طيب
[0:54 - 0:55]  باله بارك
[0:55 - 0:57]  مزالة حديث هنا
[0:57 - 1:00]  عن قررت عين نبينا
[1:00 - 1:02]  صلى الله عليه وسلم
[1:02 - 1:06]  وليوم ان شاء الله
[1:06 - 1:08]  نتكلم
[1:08 - 1:11]  عن هذا يلملك
[1:11 - 1:14]  قبل الوقوف بين ينيني
[1:14 - 1:18]  في الرغابات التي تطميعك
[1:18 - 1:21]  التي تخليك تقول
[1:21 - 1:24]  والذي أطمع
[1:25 - 1:29]  فمهم جداً
[1:29 - 1:32]  الإنسان يدرك من أبل ما يؤفل الصلاة
[1:32 - 1:36]  كميت الأغور المنتده
[1:36 - 1:38]  ولا عطايا التي
[1:38 - 1:41]  جعله الله سبحانه وتعالى لهم
[1:41 - 1:43]  قبل أن يخطف بين يلي
[1:43 - 1:45]  الدئي الانسان المبي صليش
[1:45 - 1:47]  اللي فوت فرض واحد
[1:47 - 1:49]  بس بي فوت أغور الدئي
[1:49 - 1:52]  إكميت الخسائر
[1:52 - 1:55]  إكميت المكاسب
[1:55 - 1:57]  الذبضي منه
[1:57 - 1:59]  ترحلي رو
[1:59 - 2:01]  سبحان الله
[2:01 - 2:04]  يكون أحيان في عروض
[2:04 - 2:07]  يقول لك عرض يوم شعرف إي
[2:07 - 2:09]  عرض رمضان
[2:09 - 2:12]  عرض يوم جمع
[2:12 - 2:14]  العرض دل مددت ساعية جمع
[2:14 - 2:16]  تلاي النسار
[2:16 - 2:20]  البضاع نزلت 50 60 80%
[2:20 - 2:23]  فاللي فوت الساعدي
[2:23 - 2:26]  يد بي فوت العرض
[2:26 - 2:28]  اللي فوت فرض واحد
[2:28 - 2:30]  بي فوت إبه
[2:30 - 2:32]  بي فوت حاجات
[2:32 - 2:35]  أبعد ما بين السماي
[2:35 - 2:37]  ولا أرض
[2:37 - 2:39]  فالس الله سبحانه وتعالى
[2:39 - 2:41]  لنا كون من المحرومين
[2:41 - 2:44]  أنا مش هكلمك بالبي فوت صلاة يوم كامل
[2:44 - 2:46]  بيخصري
[2:46 - 2:48]  ومش هكلمك في الحكم الفقه
[2:48 - 2:51]  وحكم تارك الصلاة
[2:51 - 2:52]  وطارك فرض واحد
[2:52 - 2:54]  والتي يترك يوم لنا
[2:54 - 2:55]  لنا كلمك بس
[2:55 - 2:58]  اللي هي ضيع صلاة واحدة
[2:58 - 3:00]  صلاة واحدة
[3:00 - 3:02]  كمية الأغور
[3:02 - 3:04]  والخيرات والبركات
[3:04 - 3:06]  الحواليها أدئي
[3:08 - 3:09]  لكن سبحان الله
[3:09 - 3:11]  كثير مننا
[3:11 - 3:12]  لن يستوعبه
[3:12 - 3:14]  ما نحن نتكلم فيه
[3:14 - 3:16]  إلا عندما
[3:16 - 3:18]  لها لها
[3:18 - 3:19]  تعالى علىها الطراب
[3:19 - 3:22]  ويكون بصره في ذلك
[3:22 - 3:23]  اليوم حديد
[3:23 - 3:25]  سعي تيبدأ
[3:25 - 3:26]  يستوعد
[3:26 - 3:27]  ويبدأ تدرك
[3:27 - 3:29]  وليها
[3:29 - 3:31]  دن فوقت حاجة كثيرة أو أو أو
[3:31 - 3:33]  وليس لك
[3:33 - 3:35]  النبي صلى الله عليه وسلم
[3:35 - 3:39]  بيقول لنا على فضل التهجير
[3:39 - 3:40]  للصلاة
[3:40 - 3:42]  يعني التهجير للصلاة
[3:42 - 3:44]  يعني التهجير للصلاة
[3:46 - 3:48]  حنفال
[3:52 - 3:54]  حنفال
[3:57 - 3:59]  يتكير
[3:59 - 4:02]  يمي لدن
[4:06 - 4:09]  يقول النبي صلى الله عليه وسلم
[4:10 - 4:12]  لو يعلم الناس
[4:12 - 4:14]  ونننسوا ما في النداية
[4:14 - 4:16]  والصف الأول
[4:16 - 4:18]  الله أكبر
[4:18 - 4:20]  لو يعلم
[4:22 - 4:24]  هنننسوا
[4:24 - 4:27]  ما في النداية والصف الأول
[4:28 - 4:33]  ثم لم يديد إلا أن يستهي معليه
[4:33 - 4:34]  لستهمه
[4:34 - 4:36]  الله أكبر
[4:38 - 4:40]  بالعليكم
[4:40 - 4:42]  النبي صلى الله عليه وسلم
[4:42 - 4:43]  في الحلزة بيقول لنا
[4:43 - 4:44]  النسلة وتعرف
[4:44 - 4:46]  إيه الجوائز
[4:46 - 4:48]  والأغور
[4:48 - 4:50]  اللي بتكون
[4:50 - 4:52]  للموباككري
[4:52 - 4:54]  المسياريين للصلاة
[4:55 - 4:57]  لو يعلم الناس ما في النداية
[4:58 - 5:01]  هنا إن التبكير للصلاة
[5:01 - 5:03]  أن يبقر للصلاة
[5:03 - 5:05]  وداب أساواء أمرأها صدف بتها
[5:05 - 5:07]  أو رجل هذه صلفي
[5:07 - 5:09]  في المزجد
[5:09 - 5:11]  والصف الأول
[5:11 - 5:12]  الصف الأول
[5:12 - 5:13]  في المزجد
[5:13 - 5:17]  ثم لم يديد إلا أن يستهي معلي
[5:17 - 5:19]  لستهمه
[5:19 - 5:21]  يا الله
[5:23 - 5:25]  يعني
[5:25 - 5:27]  خلوك جمع الحديز ده أنا سألقسؤل
[5:27 - 5:29]  الحديز ده لم الصحظة سمو
[5:29 - 5:31]  ده نهو يروت بيرسول الله
[5:31 - 5:32]  والصف الأول كذه
[5:32 - 5:33]  طب يرسول الله
[5:33 - 5:34]  والصف كذه
[5:34 - 5:35]  ثب يرسول النساء
[5:35 - 5:36]  يا رسول الله كذه
[5:36 - 5:38]  والله بيستمتع بالمرد
[5:38 - 5:40]  مل هدف من ذكر هذا الحديز
[5:40 - 5:41]  إي مقصد الحديز ده
[5:41 - 5:42]  عوز يقول لك إي
[5:42 - 5:44]  أنك تنشاج البكسرة الكلم
[5:44 - 5:46]  والنقاش والأسيلة الجانبية
[5:46 - 5:49]  واللتستمتع أولى بالمرد
[5:50 - 5:51]  إن نبيز وصل لقول لو
[5:51 - 5:53]  وعرفه
[5:53 - 5:55]  طيب الهيئزن تلوقة من
[5:55 - 5:57]  أوئة
[5:57 - 5:58]  طيب
[5:58 - 5:59]  أنا نهو دعوز أزن
[5:59 - 6:01]  أول مرد
[6:01 - 6:02]  أول مرد
[6:02 - 6:03]  أول مرد
[6:03 - 6:04]  أول مرد
[6:04 - 6:06]  أول مرد
[6:06 - 6:08]  أنا نهو دعوز أزن
[6:08 - 6:10]  لو يعلم الناس
[6:10 - 6:12]  ما في الندا فضل الأزن
[6:12 - 6:14]  نرى سوف فضل التبكير للصلا
[6:14 - 6:16]  والصف الأول
[6:16 - 6:17]  الحضر في الصف الأول
[6:17 - 6:19]  ومشواجد إلا
[6:19 - 6:21]  إنهم يعمل أرعة
[6:21 - 6:23]  إن نبيز وصل لك لستهن
[6:23 - 6:25]  ولو يعلمون ما في التهجير
[6:25 - 6:27]  الله هو كبر
[6:27 - 6:29]  لستبقوا إليه
[6:29 - 6:31]  يعني هو التبكير
[6:31 - 6:34]  ولو يعلمون ما في العتمة
[6:34 - 6:36]  وصل لأتوها
[6:36 - 6:37]  و لو حب
[6:37 - 6:38]  و لو يعرفه
