[0:00 - 0:04]  أسلامانيكم ورحمة الله ومنعيكم
[0:05 - 0:07]  الحمد الله رب العالمين
[0:08 - 0:12]  لحمد الحسن وثانا ونجميل واشر والله إله الله
[0:12 - 0:15]  واحده لا شريك له
[0:15 - 0:18]  وأشهد أن محمد عبده ورسل
[0:18 - 0:23]  وبعد فأس الله سبحانه كالعن زي النويةكم زينات اللي من
[0:23 - 0:27]  وأن ينفع بنا وبكم حيث ما كنا وكنت قيض الله
[0:27 - 0:30]  بكم ويصر الله وموركم
[0:30 - 0:33]  وضعك في أفاتكم
[0:33 - 0:39]  وأنزل عليكم رحما التترى على قلوبكم وفي قبوركم
[0:40 - 0:41]  ويوم بعفكم
[0:42 - 0:45]  واسل الله سبحانه وتالى أن يشرح صدورنا وصدوركم
[0:45 - 0:47]  وأن يسر أمورنا
[0:48 - 0:50]  وأن ينزل النور في قلوبنا
[0:51 - 0:53]  وأن لا يجعل
[0:54 - 0:56]  كلا منه إلا له
[0:57 - 1:00]  واتراعا لنبي صلى الله عليه وسلم
[1:01 - 1:04]  وجعلني ويكم من رضيب الله ربا والبسنين
[1:04 - 1:07]  دين وبمحمد صلى الله عليه وسلم
[1:07 - 1:08]  النبي ورسوله
[1:08 - 1:11]  جعلنا الله يكم من الشاكرين
[1:12 - 1:14]  الحامدين الصابعين الراضين
[1:15 - 1:18]  واسل الله سبحانه وتالى أن يوفطنا ويكم
[1:19 - 1:23]  في قررت عيم رسولنا
[1:23 - 1:24]  صلى الله عليه وسلم
[1:24 - 1:26]  ألا ويصلا
[1:27 - 1:29]  ما زال حديثنا عن الصلا
[1:31 - 1:33]  ما زال حديثنا عن الصلا
[1:34 - 1:37]  التي هي صلة العبط بمولى
[1:38 - 1:41]  الصلا هي صلةك
[1:41 - 1:42]  هي صلةك
[1:43 - 1:44]  و هي حياتك
[1:45 - 1:47]  هي طريقك إلى العرش
[1:48 - 1:50]  هي نجاتكم من الحتم
[1:52 - 1:53]  وهي جنةك
[1:55 - 1:59]  ولذلك من بركات الله علينا
[1:59 - 2:02]  أن دعنا استتاح تلك الجنة
[2:02 - 2:03]  للدخول إليها
[2:04 - 2:05]  بابها التكلير
[2:06 - 2:09]  فانك دمادت خلوا الجنة
[2:10 - 2:11]  لمعائنا
[2:13 - 2:15]  المسلمين يعودون إلى ديارهم
[2:16 - 2:19]  في غزاء
[2:19 - 2:22]  وجدناهم يكبرون
[2:23 - 2:28]  الإنسان يكبر عندما يقبلوا على الأعياد والأفراح
[2:29 - 2:34]  فانت تكبروا لأنك داخلوا على جنةك
[2:35 - 2:37]  وإذا أزن المؤذن
[2:37 - 2:41]  فكأنه يكبر لدخول وقت قررت العيم
[2:42 - 2:45]  فيقول لنا الله أكبر
[2:45 - 2:47]  الله أكبر
[2:48 - 2:51]  فرحاً بما أنت مقدمون عليه
[2:51 - 2:54]  فإي شيء آدم من الدخول على الملك
[2:54 - 2:56]  والوقوف بين يدي
[2:56 - 2:58]  وساماع كلامية
[2:58 - 3:00]  وتلاوته
[3:01 - 3:03]  والزل بين يديه ركوعاً
[3:03 - 3:05]  وسدوداً
[3:05 - 3:07]  ومناجاة
[3:07 - 3:08]  وإجلالا
[3:09 - 3:12]  والعليدي من بركات وأسرار
[3:12 - 3:14]  كرائد
[3:14 - 3:19]  وتحسين الصلاة من كرائد آية الكرسي
[3:19 - 3:21]  حياتة
[3:21 - 3:23]  وحفظاً
[3:23 - 3:26]  وحراصة هي أحراصة هذه الصلاة
[3:26 - 3:32]  وحراصة العطاء التي أنت أخذتها من السريق الإبليسية
[3:32 - 3:34]  التي تكلم عن همبارح
[3:34 - 3:37]  إذا أكرامك الوضول
[3:37 - 3:40]  فأقامك بين يديه
[3:40 - 3:43]  فياطمع الشيطان
[3:43 - 3:46]  في السريق الإتفات أو إنشيغلة
[3:46 - 3:48]  فإذالك إلا أقدلت
[3:48 - 3:50]  وحبت عليك إذا أفضلت
[3:50 - 3:52]  وحبت عليك العطاية
[3:52 - 3:55]  وفوت حتى لك الخزائن
[3:55 - 3:57]  فكان حرياً
[3:57 - 4:01]  لك أن تحفظ تلك الهبات
[4:01 - 4:05]  فانك تقرأ
[4:05 - 4:07]  أعيات الكرسي
[4:07 - 4:10]  الصلاة هي أجل لوصلا
[4:10 - 4:13]  بالله رب العالم
[4:14 - 4:16]  ولذلك
[4:16 - 4:18]  كما قلنا
[4:18 - 4:21]  فور يضط في الملئ الأعلى
[4:21 - 4:25]  في معراضي نبينا صلى الله عليه وسلم
[4:25 - 4:27]  ويعن يسبحان الله
[4:27 - 4:29]  هذا حتى
[4:29 - 4:33]  يضل قدر رسول الله في كله بنام ورتفعاً
[4:33 - 4:37]  كل يوم تمحتك تجدد هذه الصلاة
[4:37 - 4:39]  كل يوم
[4:39 - 4:42]  بالنستطاع أن أقول لك
[4:42 - 4:46]  عليك أن تجدد هذا الأمر في قلبك
[4:46 - 4:49]  ميراراً باليوم الوحد
[4:49 - 4:50]  وتكراراً
[4:50 - 4:51]  مش مرة أحدة
[4:51 - 4:53]  إنك
[4:53 - 4:55]  تعيد استحضار
[4:55 - 4:58]  أثر هذا الرجل الجنيب الموف
[4:58 - 5:00]  وقال مصدر المبارك
[5:00 - 5:02]  أرحم المهداة
[5:02 - 5:03]  الرؤوخ الرحيم
[5:03 - 5:04]  عليك أنت
[5:04 - 5:06]  عليك أنت
[5:06 - 5:07]  شخصي
[5:07 - 5:09]  رجوف النبي صلى الله وسلم
[5:09 - 5:12]  فور يضط عليهم الصلاة في الملئ الأعلى
[5:12 - 5:14]  في معراضي سيبما
[5:14 - 5:16]  رسول الله سلم
[5:16 - 5:18]  كل خير
[5:18 - 5:19]  وكل لده
[5:19 - 5:21]  أنت تستمتع بها
[5:21 - 5:23]  في طاعة ما
[5:23 - 5:25]  فالرسول الله
[5:25 - 5:28]  سلم عليك جميل فيها
[5:28 - 5:30]  أنت مستمتع برقورة
[5:30 - 5:32]  أنت مستمتع بصلاة
[5:32 - 5:34]  أنت استمتعت بسيجود
[5:34 - 5:36]  أنت استمتعت بإنفق
[5:36 - 5:38]  استمتعت ببر
[5:38 - 5:40]  استمتعت بصلاة الرحيم
[5:40 - 5:42]  أي استمتع في طاعة ما
[5:42 - 5:44]  فالل رسول الله
[5:44 - 5:47]  يسلم جميل لأنه لو لا ماذا
[5:47 - 5:49]  وصلك مستمتعت به
[5:50 - 5:52]  ولذلك
[5:52 - 5:55]  بكي تعلم قد فقط
[5:56 - 5:58]  بكي تعلم قد فقط
[5:58 - 6:02]  من قد الرسول الله
[6:02 - 6:04]  يسلم أنه رب العالمين
[6:04 - 6:07]  أن الصلاة مبدأها الحم
[6:07 - 6:10]  فعبتوا ل الله وكبر
[6:10 - 6:12]  ونتواف الصلاة والتستعيل
[6:12 - 6:14]  وبتسأوا حلص وبدأت
[6:14 - 6:15]  بسمالة بتؤليه
[6:15 - 6:18]  الحمد لله رب العالم
[6:18 - 6:20]  وخيتامها
[6:20 - 6:22]  مختومة بصلاة والسلام
[6:22 - 6:24]  على عبده محمد
[6:24 - 6:26]  صلى الله عليه وسلم
[6:26 - 6:28]  فكأن الرب جل على
[6:28 - 6:31]  يربي خلبة على
[6:31 - 6:33]  لا ممصرف لك
[6:33 - 6:35]  لا ممصرف لك
[6:35 - 6:37]  من بين يدي
[6:37 - 6:40]  حتى تصلي على خلي
[6:40 - 6:42]  وصفه محمد
[6:42 - 6:44]  صلى الله عليه وسلم
[6:44 - 6:47]  انتائين تصلي لله
[6:47 - 6:48]  وتحن الدربنا
[6:48 - 6:50]  وبتكبر الدربنا
[6:50 - 6:52]  وقفت بين يدي
[6:52 - 6:55]  لكن الرب يربي هذا الفلفي
[6:55 - 6:58]  حتى يبقى
[6:58 - 7:00]  رسول الله في القلب عاليا
[7:00 - 7:02]  مرتفع له شاء
[7:02 - 7:04]  وقد يقول لك
[7:04 - 7:06]  لا تنصرف من بين يدي
[7:06 - 7:08]  حتى تصلي
[7:08 - 7:11]  على نبي محمد
[7:11 - 7:13]  صلى الله عليه وسلم
[7:13 - 7:15]  وكاما
[7:15 - 7:18]  وكاما أن الععمال بالخواتي
[7:19 - 7:22]  وكاما أن
[7:22 - 7:26]  أختم بخير
[7:26 - 7:28]  والختام مسك
[7:28 - 7:30]  كان ختام الصلاة
